Temperature density viscosity   Re
0.6549357172    0.6 0.7345263875    0.8168528867
0.8110961805    0.6 0.7544622923    0.7952683734
0.8558034581    0.6 0.7689243363    0.7803108468
1.0134465347    0.6 0.7882167421    0.7612119458
1.0522486412    0.6 0.8123992576    0.7385531121
1.2114046032    0.6 0.8269220847    0.7255822659
1.4488879507    0.6 0.8622631333    0.695843272
1.6105549385    0.6 0.8735561263    0.6868476815
1.8543431219    0.6 0.8920549082    0.6726043369
2.002624848 0.6 0.918339916 0.6533528485
2.4450547979    0.6 0.9454597852    0.6346118676
2.6003436819    0.6 0.9805953868    0.611873162
2.8343661039    0.6 1.0003022855    0.5998186835
2.9996652416    0.6 1.0202863479    0.5880702032
3.2365004396    0.6 1.0061890301    0.5963094231
3.3904496354    0.6 1.0439252532    0.5747537941
3.6356839229    0.6 1.1120669675    0.5395358531
3.7929883595    0.6 1.0799393864    0.5555867371
4.0241931619    0.6 1.0642783899    0.5637622691
4.1741265232    0.6 1.0941376423    0.5483770751
0.4651070113    0.7 1.1366125079    0.6158651213
0.626173714 0.7 1.145813506 0.6109196622
0.6633646262    0.7 1.1834518936    0.5914900333
0.8283393352    0.7 1.1797715929    0.5933351881
0.8602326532    0.7 1.1953517935    0.5856016646
1.0282276117    0.7 1.2158383765    0.5757344179
1.0585011008    0.7 1.2272467519    0.5703824426
1.2245623322    0.7 1.2246516318    0.5715911218
1.4529809903    0.7 1.2675481802    0.5522472526
1.6220568878    0.7 1.2750103182    0.5490151648
1.8478411805    0.7 1.3078548096    0.535227607
2.0132328902    0.7 1.3043722166    0.5366566315
2.4394175742    0.7 1.3394270366    0.5226115203
2.6068674792    0.7 1.3689215408    0.5113514392
2.8430277029    0.7 1.4169937582    0.4940035875
3.006342328 0.7 1.3830132781    0.5061411999
3.2266941826    0.7 1.414794969 0.4947713381
3.3912263944    0.7 1.4183578539    0.493528483
3.6250892735    0.7 1.4098975645    0.4964899704
3.7830722839    0.7 1.4301366169    0.489463728
4.0282664652    0.7 1.4695376219    0.4763403057
4.1800730337    0.7 1.4965228   0.4677509758
0.4863367876    0.8 2.3095628019    0.3463859044
0.6729174702    0.8 2.0530692796    0.389660499
0.6778187921    0.8 2.1973582467    0.364073542
0.8688912321    0.8 2.0371227309    0.3927107522
0.8733569955    0.8 2.1045279977    0.3801327428
1.0626313262    0.8 2.0126091229    0.3974939748
1.0677760424    0.8 2.0640733187    0.3875831313
1.2576512579    0.8 2.0047339706    0.3990554416
1.4614773413    0.8 2.0001555455    0.3999688933
1.6445851586    0.8 1.9855820832    0.4029045219
1.8534153427    0.8 2.0038793013    0.3992256417
2.0349734058    0.8 1.9768468876    0.404684857
2.4486409847    0.8 2.0324345098    0.393616619
2.6196396289    0.8 1.982111805 0.4036099265
2.8459254667    0.8 2.008454947 0.3983161291
3.0180467489    0.8 2.0145160088    0.3971177179
3.23803961  0.8 2.0253434126    0.3949947426
3.4085404937    0.8 2.0000196869    0.3999960627
3.638799759 0.8 2.0524966687    0.3897692075
3.8030148621    0.8 2.0284485634    0.3943900843
4.0238008992    0.8 2.0476285526    0.3906958608
4.1878581423    0.8 2.0273065617    0.3946122481
0.5378315321    0.9 8.7574029941    0.1027701935
0.7555187974    0.9 4.1552887231    0.2165914477
0.7192449877    0.9 5.0276311514    0.1790107454
0.9438057537    0.9 3.6354902165    0.2475594614
0.9029536219    0.9 4.0571324066    0.2218315573
1.127641969 0.9 3.38217269  0.2661011375
1.0891321315    0.9 3.6439591467    0.2469841082
1.3133414201    0.9 3.2379045687    0.2779575435
1.4757108296    0.9 3.2694314715    0.275277218
1.6911347801    0.9 3.0609211613    0.2940291346
1.8647347975    0.9 3.0842479295    0.2918053349
2.0740334891    0.9 2.974130773 0.302609424
2.4476023431    0.9 2.9058901435    0.3097157689
2.65255561  0.9 2.8534930357    0.3154029075
2.8500338922    0.9 2.8743392055    0.3131154452
3.0388774081    0.9 2.8181958411    0.3193532496
3.2406840891    0.9 2.8272758251    0.3183276255
3.4293136012    0.9 2.8172577784    0.3194595847
3.6252432418    0.9 2.8091696935    0.3203793641
3.818613026 0.9 2.7835854598    0.3233240053
4.030323732 0.9 2.8079147075    0.3205225563
4.2133099283    0.9 2.7729819393    0.3245603541
0.1672102707    0.1 0.076877193 1.3007759008
0.3329556974    0.1 0.1044352165    0.9575314088
0.2250749852    0.1 0.0903585492    1.106702142
0.3924680926    0.1 0.1130388724    0.8846514293
0.2746529902    0.1 0.0990108689    1.0099901263
0.4458560262    0.1 0.125828663 0.7947314837
0.3249438535    0.1 0.1028457555    0.9723298688
0.5161978749    0.1 0.1402428662    0.713048747
0.3829812617    0.1 0.110675621 0.9035413496
0.5737273572    0.1 0.1494899053    0.6689414899
0.4280105103    0.1 0.1119424089    0.8933164921
0.6170855562    0.1 0.1437599531    0.6956040112
0.4768511551    0.1 0.1195793707    0.8362646449
0.6862466636    0.1 0.1557963186    0.6418636904
0.5305699177    0.1 0.130704541 0.7650843594
0.7390151458    0.1 0.1654357727    0.604464188
0.5754608804    0.1 0.1343778931    0.7441700247
0.7949048856    0.1 0.1795270208    0.5570192138
0.6340922978    0.1 0.1379858965    0.724711746
0.841057877 0.1 0.1800601822    0.5553698702
0.1525659062    0.2 0.0889227964    2.2491420432
0.2921281804    0.2 0.1217082375    1.6432741457
0.2060345233    0.2 0.1027025762    1.9473708197
0.355671455 0.2 0.1332181164    1.5012973119
0.2591313431    0.2 0.110748232 1.8058979032
0.4124856273    0.2 0.1450315911    1.3790099009
0.312806159 0.2 0.1266253332    1.5794627739
0.4708624858    0.2 0.1533983042    1.3037953777
0.3624927842    0.2 0.1354750933    1.4762861211
0.5215612069    0.2 0.1598017463    1.2515507789
0.4151582253    0.2 0.1551498926    1.2890759812
0.5809947203    0.2 0.1730112861    1.1559939497
0.4605025996    0.2 0.1500264038    1.3330986744
0.6364456461    0.2 0.1807599985    1.1064394869
0.5153424583    0.2 0.1594650537    1.2541932877
0.6904975519    0.2 0.1901794461    1.0516383557
0.5684104696    0.2 0.1712761998    1.167704563
0.7356182841    0.2 0.1900828846    1.0521725848
0.614867458 0.2 0.1767797922    1.1313510299
0.7966938162    0.2 0.2042773485    0.9790610728
0.1485807397    0.3 0.1231906307    2.4352501348
0.2735239212    0.3 0.1610210549    1.8631103881
0.2016829902    0.3 0.1418359668    2.1151193643
0.3369006262    0.3 0.1782141358    1.6833681494
0.2549973958    0.3 0.1588784208    1.8882362905
0.3944982795    0.3 0.1889098077    1.5880594222
0.3040119672    0.3 0.1668399429    1.79813056
0.4478657297    0.3 0.1983451528    1.5125149053
0.3572002767    0.3 0.1769402878    1.6954872387
0.5079074228    0.3 0.2131295763    1.4075944089
0.4043530014    0.3 0.1943479228    1.5436233928
0.5579620115    0.3 0.2166786076    1.3845390797
0.4570209457    0.3 0.1977385562    1.5171548016
0.6116141858    0.3 0.2273692664    1.3194395389
0.5106203593    0.3 0.208973679 1.4355874931
0.6619106957    0.3 0.2371536796    1.2650025105
0.552661237 0.3 0.2071059415    1.4485340106
0.7155944856    0.3 0.2454059646    1.222464175
0.607498378 0.3 0.2295224727    1.3070615545
0.7666701611    0.3 0.250882392 1.1957794152
0.146571012 0.4 0.1946849956    2.0546010686
0.2700940856    0.4 0.2432008467    1.644731116
0.2001019861    0.4 0.2199990298    1.8181898367
0.3286877839    0.4 0.2605309712    1.5353261001
0.2515400988    0.4 0.2377033709    1.6827695733
0.3872713403    0.4 0.2771298547    1.443366686
0.3015629855    0.4 0.2500965585    1.5993822639
0.4389750742    0.4 0.2885239718    1.3863666074
0.3560664283    0.4 0.2688541288    1.4877956377
0.4937761891    0.4 0.2998558321    1.3339743875
0.4036117941    0.4 0.2792742602    1.432283805
0.5485471267    0.4 0.3144450588    1.2720823204
0.4535189766    0.4 0.291181612 1.3737131173
0.5985090198    0.4 0.3256150823    1.2284443252
0.506409113 0.4 0.3106393545    1.2876668528
0.6525410084    0.4 0.3338054986    1.1983026095
0.5553985541    0.4 0.3260261479    1.2268954577
0.7067058187    0.4 0.3447626542    1.1602184724
0.6046770815    0.4 0.3207825991    1.2469504303
0.7546640582    0.4 0.3541689549    1.1294044679
0.1494102946    0.5 0.3031684591    1.6492480832
0.2728784866    0.5 0.3588243753    1.3934393382
0.2014463301    0.5 0.3308835526    1.5111056323
0.3317647445    0.5 0.3795584447    1.3173201835
0.2518595861    0.5 0.3511338581    1.4239583806
0.3880272306    0.5 0.4009864985    1.2469247765
0.302630385 0.5 0.3746155958    1.3347015061
0.4438726512    0.5 0.4187362328    1.194069108
0.3540711728    0.5 0.3931469006    1.2717892453
0.4954406175    0.5 0.4331054058    1.1544533809
0.4056852711    0.5 0.4121757286    1.2130748255
0.5482189033    0.5 0.4432343834    1.1280713291
0.4553993605    0.5 0.42211077  1.1845232
0.5999418184    0.5 0.4586533011    1.090148046
0.5071260255    0.5 0.437068634 1.1439850886
0.6550170159    0.5 0.4703481464    1.0630423523
0.553690455 0.5 0.4443454614    1.1252506067
0.7051536135    0.5 0.4803526412    1.0409019481
0.6050283347    0.5 0.4606613305    1.0853960749
0.756197855 0.5 0.4900689045    1.0202646921
0.15405443  0.6 0.530785525 1.13040008
0.2818260173    0.6 0.5916307064    1.0141461448
0.2054067445    0.6 0.5639739247    1.0638789733
0.3400127706    0.6 0.6206276246    0.9667632832
0.2570815567    0.6 0.5996206323    1.0006326795
0.3980163271    0.6 0.6463898821    0.9282323512
0.3061803317    0.6 0.6193381903    0.968776041
0.4521883997    0.6 0.6686284048    0.8973594237
0.3573086815    0.6 0.6450125287    0.9302144894
0.5039628157    0.6 0.6783734982    0.8844685142
0.408736148 0.6 0.6576364109    0.9123582425
0.556228027 0.6 0.6922086468    0.8667906747
0.4567633786    0.6 0.6718719351    0.8930273295
0.6081216304    0.6 0.7092480583    0.8459663625
0.5071540467    0.6 0.6891116673    0.8706861725
0.6597882436    0.6 0.7217876932    0.8312693686
0.5555339983    0.6 0.6999769935    0.8571710293
0.7118534387    0.6 0.7378931416    0.8131258663
0.6056816554    0.6 0.7194690067    0.8339483625
0.7615300143    0.6 0.7432599207    0.8072546135
0.1655800548    0.7 1.0323020806    0.6780960856
0.3038782952    0.7 1.0394972621    0.6734024471
0.2165982423    0.7 1.0682309555    0.6552890051
0.3626459574    0.7 1.0698471667    0.6542990642
0.2675255229    0.7 1.104536406 0.6337500477
0.4179051285    0.7 1.0910527789    0.6415821613
0.3170184579    0.7 1.1086262814    0.6314120563
0.4720737291    0.7 1.1067317667    0.6324929139
0.3670165166    0.7 1.1208253838    0.6245397455
0.5242482964    0.7 1.1229162275    0.6233768672
0.4159134247    0.7 1.133959516 0.6173059885
0.5765852541    0.7 1.1366090309    0.6158670053
0.4651070113    0.7 1.1366125079    0.6158651213
0.626173714 0.7 1.145813506 0.6109196622
0.5156303232    0.7 1.160143186 0.6033737977
0.6783912197    0.7 1.159765007 0.6035705473
0.5649282165    0.7 1.1564059231    0.605323776
0.7292787001    0.7 1.1683329856    0.5991442582
0.611562082 0.7 1.1620024448    0.6024083711
0.7770808277    0.7 1.170958669 0.5978007751
0.1930858301    0.8 2.7817839927    0.2875852338
0.3527707043    0.8 2.1457622505    0.3728278843
0.2442890665    0.8 2.6365848716    0.3034228136
0.4112058405    0.8 2.1014747511    0.3806850401
0.2939203985    0.8 2.5320820704    0.3159455254
0.4659367641    0.8 2.0836436341    0.3839428139
0.3420949177    0.8 2.4638897599    0.3246898514
0.5195058746    0.8 2.0721848361    0.3860659465
0.3906286495    0.8 2.4058079207    0.332528625
0.5719489044    0.8 2.0723757175    0.3860303869
0.4381264783    0.8 2.346183747 0.3409792609
0.621697061 0.8 2.0637836047    0.3876375402
0.4863367876    0.8 2.3095628019    0.3463859044
0.6729174702    0.8 2.0530692796    0.389660499
0.5334506267    0.8 2.2646872184    0.3532496645
0.72354806  0.8 2.0553962011    0.389219363
0.5827112912    0.8 2.2455368513    0.3562622451
0.7703774255    0.8 2.0466959496    0.3908738863
0.6299450681    0.8 2.2181976136    0.3606531695
0.8196870034    0.8 2.0395351074    0.3922462512
0.2451345875    0.9 247.902197389   0.003630464
0.437430344 0.9 11.6308709724   0.0773802755
0.3015395526    0.9 80.8328603214   0.0111340858
0.4989058414    0.9 8.0670016486    0.111565615
0.3517842584    0.9 39.331306198    0.0228825352
0.5572517367    0.9 6.3766927816    0.1411389933
0.4001819575    0.9 23.1862348894   0.038816134
0.609689944 0.9 5.4182329497    0.166105815
0.4463462491    0.9 15.0126933772   0.0599492694
0.6599228006    0.9 4.8157843496    0.1868854448
0.4929726561    0.9 11.2940164383   0.0796882141
0.7079371202    0.9 4.4582333594    0.2018736857
0.5378315321    0.9 8.7574029941    0.1027701935
0.7555187974    0.9 4.1552887231    0.2165914477
0.5831618957    0.9 7.2166610915    0.1247114127
0.8032010919    0.9 3.9566365815    0.227465925
0.6271973189    0.9 6.198961702 0.1451856042
0.8490555963    0.9 3.8332567963    0.2347872965
0.6726288721    0.9 5.5055135096    0.1634724896
0.8954531261    0.9 3.7145399411    0.2422911085
0.1512548991    0.15    0.0779753128    1.9236857743
0.285568039 0.15    0.1073772336    1.396944166
0.2032102586    0.15    0.0900205717    1.6662857967
0.3466773423    0.15    0.1199349199    1.2506782852
0.2571712454    0.15    0.1053391981    1.423971349
0.4075372253    0.15    0.128191685 1.1701226957
0.3093023334    0.15    0.1124364033    1.3340874978
0.4681627586    0.15    0.1443350819    1.03924838
0.3559092247    0.15    0.1171566019    1.2803375782
0.5224940646    0.15    0.1520255251    0.9866764144
0.4111414825    0.15    0.1282235371    1.1698320244
0.5775564512    0.15    0.1536097175    0.9765007216
0.4647061452    0.15    0.1397482089    1.0733590161
0.6280304424    0.15    0.1611640593    0.9307286047
0.5121382142    0.15    0.1397010297    1.0737215064
0.6837756996    0.15    0.1697266226    0.8837741405
0.5643890779    0.15    0.1480215412    1.0133660191
0.7335013341    0.15    0.1784903418    0.8403816056
0.6089054925    0.15    0.157773845 0.9507279234
0.7820519623    0.15    0.1783812963    0.8408953353
0.6623204778    0.15    0.1649478063    0.9093785688
0.8381421583    0.15    0.1905865993    0.7870437928
0.7598710465    0.15    0.1660800692    0.9031788146
0.9410773778    0.15    0.1994003905    0.7522552971
0.8633280876    0.15    0.1905186354    0.787324556
1.0403679266    0.15    0.2104850548    0.7126396701
0.9533012289    0.15    0.1857491961    0.8075405069
1.1410748214    0.15    0.2214853354    0.6772457407
1.0502337521    0.15    0.1989056523    0.7541263823
1.2442667769    0.15    0.2327555209    0.644453027
2.0445640718    0.15    0.3158939766    0.4748428622
2.2402727053    0.15    0.3266928663    0.4591468485
0.1443551356    0.25    0.1094770945    2.2835827097
0.2641218723    0.25    0.141338442 1.7688039894
0.1959200057    0.25    0.1196966061    2.0886139387
0.3193998771    0.25    0.152780419 1.6363353476
0.2494354201    0.25    0.1378583007    1.8134562711
0.3804106538    0.25    0.1656381534    1.5093140975
0.3008013715    0.25    0.1467859383    1.7031604177
0.4340390957    0.25    0.1744043815    1.4334502259
0.3506298189    0.25    0.1591709767    1.5706380976
0.4892791874    0.25    0.1867003568    1.3390440395
0.4022976996    0.25    0.1670636235    1.4964358769
0.5421007173    0.25    0.1934755153    1.2921531677
0.4518304535    0.25    0.1776209172    1.4074918876
0.5958802802    0.25    0.2024224076    1.2350411349
0.5013599182    0.25    0.1878498293    1.3308502913
0.6482017362    0.25    0.2078595008    1.202735497
0.5563520699    0.25    0.1940480223    1.2883408809
0.7035662699    0.25    0.2183816777    1.1447846842
0.600936881 0.25    0.2083469491    1.1999215786
0.7531418524    0.25    0.2266919361    1.102818231
0.6559151765    0.25    0.2123462868    1.1773222114
0.807091079 0.25    0.2325385708    1.0750904641
0.7516255026    0.25    0.2211620853    1.1303926697
0.9031094248    0.25    0.2419298549    1.0333573757
0.8520572938    0.25    0.2430374238    1.0286481648
1.00598251  0.25    0.2564688765    0.9747771481
0.9493482762    0.25    0.2450744199    1.0200983035
1.1127139001    0.25    0.27583384  0.9063427459
1.0521467723    0.25    0.2656473553    0.9410972667
1.2107799451    0.25    0.2809023653    0.889988946
2.049636245 0.25    0.3690423742    0.6774289823
2.2030467701    0.25    0.3678103173    0.6796981711
0.1421999066    0.35    0.150525763 2.3251833647
