108,5.1299,5.1299,5.1299,3.9246,4.2287,0.66944,0.25833
256,6.8399,6.8399,6.8399,4.0312,4.2725,0.51327,0.179
500,8.5499,8.5499,8.5499,4.052,4.2596,0.42469,0.12295
864,10.26,10.26,10.26,4.1423,4.2888,0.36682,0.098571
1372,11.97,11.97,11.97,4.168,4.2874,0.29855,0.082091
2916,15.39,15.39,15.39,4.1805,4.2845,0.254,0.058968
972,5.1299,15.39,15.39,4.091,4.2682,0.36556,0.096132
324,5.1299,15.39,5.1299,4.0011,4.258,0.5462,0.15302
2160,5.1299,102.6,5.1299,4.0819,4.2755,0.43418,0.069305
32000,34.2,34.2,34.2,4.2532,4.2886,0.11441,0.038389
3072,27.36,5.1299,27.36,4.1363,4.2792,0.27194,0.056751
a,l,l,v,a,l,u,e,s,w,e,r,e,f,o,r,1,0,0,0,0,t,i,m,e,s,t,e,p,b,e,f,o,r,e,t,h,i,s
108,5.1299,5.1299,5.1299,3.9298,4.234,0.68579,0.25767
108,5.1299,5.1299,5.1299,3.9258,4.2084,0.67045,0.2683
108,5.1299,5.1299,5.1299,3.9246,4.2287,0.66944,0.25833
108,5.1299,5.1299,5.1299,3.9246,4.2287,0.66944,0.25833
108,5.1299,5.1299,5.1299,3.9246,4.2287,0.66944,0.25833
108,5.1299,5.1299,5.1299,3.9246,4.2287,0.66944,0.25833,10000
108,5.1299,5.1299,5.1299,4.0002,4.2716,0.67936,0.24017,11000
108,5.1299,5.1299,5.1299,4.0002,4.2716,0.67936,0.24017,11000
108,5.1299,5.1299,5.1299,4.0002,4.2716,0.67936,0.24017,11000
108,5.1299,5.1299,5.1299,4.0002,4.2716,0.67936,0.24017,11000
108,5.1299,5.1299,5.1299,4.0002,4.2716,0.67936,0.24017,11000
108,5.1299,5.1299,5.1299,4.0002,4.2716,0.67936,0.24017,11000
144,5.1299,5.1299,6.8399,3.9534,4.2528,0.62228,0.2183,11000
180,5.1299,5.1299,8.5499,3.9781,4.2547,0.57597,0.21201,11000
216,5.1299,5.1299,10.26,4.0204,4.2603,0.60289,0.17343,11000
252,5.1299,5.1299,11.97,3.9876,4.2525,0.53106,0.17985,11000
288,5.1299,5.1299,13.68,4.0409,4.2531,0.5464,0.15685,11000
324,5.1299,5.1299,15.39,3.9788,4.2462,0.55225,0.15476,11000
360,5.1299,5.1299,17.1,4.0119,4.2778,0.51041,0.14514,11000
